Norm,Environment,Context,Label
انتشار محتوای مرتبط با جشن نوروز,نوروز,فردی در حال به اشتراک گذاشتن تصاویر و ویدیوهای مربوط به نوروز,Expected
رعایت نوبت در صف داروخانه,داروخانه,افراد در حال رعایت نوبت و ایستادن در صف برای خرید دارو,Expected
تهیه غذاهای محلی و سنتی برای پذیرایی,مهمانی خانوادگی,میزبان در حال تهیه غذاهای سنتی و محلی برای میهمانان,Expected
سیگار کشیدن در اماکن عمومی سرپوشیده,مرکز خرید,یک مرد در حال سیگار کشیدن در پاساژ خرید,Normal
پوشیدن لباس عزا در مراسم عروسی,عروسی,افراد در مراسم عروسی لباس عزا می پوشند,Taboo
احترام گذاشتن به سنت های خانوادگی,خانه مادربزرگ,نوه ها در خانه مادربزرگشان,Expected
پخش سریال های غیراخلاقی در تلویزیون,خانه,خانواده در حال تماشای سریال های غیراخلاقی در تلویزیون,Taboo
اختصاص قسمتی از مراکز تفریحی به زنان,باشگاه ورزشی,زنان در حال ورزش کردن در باشگاه,Expected
استفاده از رایانه در کلاس درس,دانشگاه,دانشجویان در حال استفاده از لپ تاپ در کلاس,Normal
غیبت کردن و بدگویی از دیگران,مهمانی خانوادگی,افراد در حال بدگویی از غایبان در یک مهمانی خانوادگی,Normal
رعایت آداب و تشریفات سنتی در مراسم,عروسی,میزبانان و میهمانان در حال رعایت رسوم و آداب خاص عروسی,Expected
پوشش مناسب در اماکن متبرکه و اماکن مذهبی,زیارت حرم,زیارت بارگاه ائمه و بزرگان دینی,Expected
استفاده از باشگاه بدنسازی جداگانه برای زنان و مردان,باشگاه ورزشی,افراد در حال تمرین در باشگاه‌های جداگانه زنانه و مردانه,Expected
لباس های قدیمی و سنتی در شب یلدا,مهمانی خانوادگی,پوشیدن لباس های محلی و قدیمی,Normal
رعایت آداب سنتی در مراسم ازدواج,جشن عروسی,یک زوج جوان در حال برگزاری مراسم عروسی,Expected
چیدن سفره هفت سین,سفره هفت سین,آماده کردن سفره هفت سین برای تحویل سال نو,Expected
شیردهی کودک در ملأ عام,پارک,توسط مادران در پارک‌ها و فضاهای عمومی,Normal
برهنه شدن در موزه,موزه,یک نفر در حال برهنه شدن و لخت راه رفتن در موزه,Taboo
اخذ رضایت از پدر برای ازدواج دختران,جشن عروسی,برای ازدواج دختران، رضایت پدر آنها لازم است,Expected
توجه به آداب سفره,سفره غذا,افراد هنگام غذا خوردن آداب را رعایت می کنند,Normal
ضیافت‌های عمومی و رایگان توسط نیکوکاران,خیابان شهر,توزیع رایگان غذا در سطح شهر برای افراد نیازمند,Normal
رعایت سکوت در کتابخانه,کتابخانه,دانشجویان در حال مطالعه در کتابخانه,Expected
نپذیرفتن جواب رد از سوی میزبان,مهمانی خانوادگی,میهمانان به سادگی جواب رد میزبان را برای پذیرایی نمی‌پذیرند,Normal
تشویق خانواده برای حضور در کنسرت,کنسرت موسیقی,یک خانواده در حال تشویق یکدیگر برای حضور در یک کنسرت موسیقی,Normal
کوچ نشینی,مناطق عشایری,عشایر در حال کوچ بهاره,Expected
رعایت سکوت در مساجد,مسجد,نمازگزاران در حال رعایت سکوت و آرامش در محیط مسجد,Expected
احترام گذاشتن به اعتقادات و باورهای مذهبی دیگران,مسجد,نمازگزاران در حال احترام گذاشتن به افراد با مذاهب مختلف,Expected
رقص با شمشیر در آیین های سنتی,آیین سنتی,در برخی آیین های سنتی، افراد با شمشیر در دست می رقصند,Normal
استفاده از جمله های محترمانه در صحبت با افراد مسن,خانه مادربزرگ,نوه در حال گفتگو با مادربزرگ,Expected
رعایت آداب تردد در معابر عمومی,خیابان شهر,رانندگان در حال رعایت قوانین راهنمایی و رانندگی,Expected
پوشیدن لباس نامناسب در مدرسه,مدرسه,یک دانش آموز با پوشش نامتعارف در مدرسه,Taboo
تربیت فرزندان در چارچوب اصول اخلاقی و دینی,خانواده,تعامل والدین با فرزندان در خانواده,Expected
فروش مواد مخدر در پارک,پارک,گروهی از افراد در حال فروش و معامله مواد مخدر در پارک,Taboo
استفاده از نمادهای سکولار و غیرمذهبی,فضای عمومی,افراد در حال استفاده از نمادهای سکولار در فضای عمومی,Taboo
قدردانی از زحمات دیگران,جلسه اداری,کارمندان در جلسه کاری,Normal
عدم توجه به حقوق شهروندی دیگران,فرودگاه,مسافری بدون توجه به نوبت از جلوی صف عبور می کند,Taboo
بازدید از کاروانسرای تاریخی,کاروانسرای تاریخی,گروهی از گردشگران در حال بازدید از یک کاروانسرای قدیمی و تاریخی,Normal
احترام به آداب میهمان نوازی,مهمانی,میزبان در حال پذیرایی از میهمانان,Expected
کمک به پدر و مادر در انجام کارهای منزل,خانه,فرزندان در حال یاری رساندن به والدین در کارهای خانه,Expected
اهدای خون برای نجات جان انسان‌ها,مرکز انتقال خون,افراد داوطلب در حال اهدای خون,Expected
پرخوری و پرت کردن غذا,رستوران,مشتری در حال پرخوری و پرت کردن غذا در رستوران,Taboo
برخورد تساهل آمیز با اقلیت های مذهبی,شهر,حضور آزاد و امن پیروان ادیان دیگر در شهر,Expected
جمع‌آوری زباله‌ها و پاکسازی محیط پس از پایان جشن,محل برگزاری جشن,داوطلبان در حال جمع‌آوری زباله‌های باقی‌مانده,Expected
پرهیز از اسراف در منابع,محیط خانواده,افراد در مصرف آب، برق و منابع صرفه‌جویی می‌کنند,Normal
تجاوز به حریم خصوصی دیگران,درمانگاه,توسط افراد در یک درمانگاه محلی,Taboo
آتش زدن علنی آتش بزرگ در چهارشنبه سوری,خیابان شهر,گروهی از جوانان در حال روشن کردن آتش بزرگ,Taboo
خشونت کلامی در محیط کار,محل کار,یک کارمند در حال فحاشی به همکار در محل کار,Taboo
رفتارهای خشن و پرخاشگرانه در اماکن عمومی,مرکز خرید,برای افراد در یک مرکز خرید شلوغ,Taboo
اعتراض به نرخ بالای تورم و گرانی,میدان شهر,گروهی از مردم در حال اعتراض به گرانی و تورم,Normal
مشارکت گسترده زنان در سطوح  مدیریتی و سیاسی,پارلمان,حضور پررنگ زنان در مجلس به عنوان نماینده,Taboo
پرسیدن احوال از دیگران قبل از شروع گفتگو,محل کار,دو همکار در حال ملاقات یکدیگر در محل کار,Expected
صیانت از حقوق حیوانات,باغ وحش,بازدیدکنندگان آزار حیوانات را جایز نمی دانند,Normal
زیارت مزار شهدا در ایام نوروز,گلزار شهدا، آرامگاه‌های شهدا,گروهی که به مناسبت نوروز به زیارت مزار شهدا می‌روند,Normal
صداقت و راستگویی در گفتار و کردار,اداره دولتی,برای شهروندان در تعامل با ادارات دولتی,Expected
وجدان کاری و تلاش,محل کار,کارگران برای امرار معاش با جدیت کار می‌کنند,Expected
داشتن حجاب کامل برای زنان,حرم,زنی با چادر در حال زیارت,Expected
سوگواری و عزاداری,مراسم روضه خوانی,حضار با چشمان اشکبار به سینه می زنند,Expected
حجاب و پوشش اسلامی,اماکن مذهبی,زنان در امامزاده ها رعایت حجاب می کنند,Expected
حضور کمرنگ زنان در بعضی مشاغل,اداره دولتی,مناصب مدیریتی عالی در ادارات دولتی,Expected
رعایت شئون اسلامی در پوشش و آرایش,حمل و نقل عمومی,استفاده از اتوبوس، مترو و سایر وسایل حمل و نقل شهری,Expected
مشورت و تبادل نظر در تصمیم گیری ها,شورای شهر,اعضای شورا در حال مشورت درباره یک طرح شهری,Expected
رعایت تفکیک جنسیتی در برخی اماکن عمومی,باشگاه ورزشی,برای زنان و مردان در باشگاه های ورزشی,Expected
روابط نامشروع جنسی در محل کار,محل کار,یک زوج کارمند در رابطه نامشروع در محیط کاری,Taboo
کمک به جانبازان در پیاده شدن از قطار,ایستگاه قطار,رانندگان و مسافران در حال کمک به جانبازان برای پیاده شدن از قطار,Expected
اجتناب از تولید صدای مزاحم,کتابخانه,دانشجویان در حال مطالعه در کتابخانه,Expected
استعمال دخانیات در محصوطه ی مخصوص سیگار کشیدن رستوران,رستوران,فردی در حال کشیدن سیگار در محصوطه ی مخصوص سیگار کشیدن رستوران,Taboo
تقدیر و قدردانی از زحمات معلمان و استادان,مدرسه,دانش آموزان در محیط آموزشی مدرسه,Expected
ایجاد سروصدا در محیط عمومی,کتابخانه,گروهی از دانشجویان در حال خندیدن و صحبت بلند,Taboo
مراودات تجاری و معامله در حضور زنان,بازار سنتی,زنان در فضاهای تجاری حضور داشته و در معامله‌ها شرکت می‌کنند,Normal
استفاده از کلمات و اصطلاحات محترمانه,محل کار,یک کارمند در حال گفتگو با همکاران یا مشتریان,Expected
سکوت در سالن سینما,سینما,تماشاگران در حال تماشای فیلم,Expected
دادن اطلاعات شخصی بیش از حد به افراد ناشناس,کافه,افراد تمایل به گفتگو و ارائه اطلاعات شخصی زیاد به غریبه‌ها را دارند,Normal
تماشای کنسرت موسیقی غیرمجاز,کنسرت موسیقی,گروهی از جوانان در حال تماشای یک کنسرت موسیقی غیرمجاز,Taboo
احترام به محیط زیست و حفاظت از منابع طبیعی,کوهستان,کوهنوردان در طبیعت,Expected
پرهیز از موسیقی و رقص در مراسم عزاداری,مراسم عزاداری,عدم اجرای موسیقی در مراسم سوگواری,Expected
پرداخت نفقه کودکان پس از طلاق,دادگاه,یک پدر در حال پرداخت نفقه فرزندانش پس از طلاق,Expected
ورزش کردن و بازی در پارک,پارک,افراد در حال ورزش و بازی در پارک,Normal
هتک حرمت به اقوام و ادیان در فضای مجازی,فضای مجازی,کاربری در حال انتشار پیام های نژادپرستانه و توهین آمیز,Taboo
تماشای غروب و طلوع آفتاب,کویر,در یک منطقه کویری و بیابانی,Normal
پارک خودرو در محل مناسب,خیابان شهر,راننده ای خودرو را در محل ممنوعه پارک کرده است,Normal
شوخی های رکیک و جنسیتی با افراد,محل کار,بین همکاران زن و مرد در محیط کاری,Taboo
حفظ پاکدامنی و عفاف,جوامع آموزشی,دانشجویان از رفتارهای غیراخلاقی دوری می کنند,Normal
رعایت شئون اسلامی در تئاتر,تئاتر,تماشاگران در حال رعایت شئون اسلامی در تئاتر,Expected
پرسش از وضعیت تحصیلی فرزندان خانواده,خانه مادربزرگ,بازدید از منزل مادربزرگ در تعطیلات,Normal
خوردن نان از آمیخته هفت نوع غله,مهمانی خانوادگی,خوردن نان ویژه از ترکیب هفت نوع غله,Expected
توجه به حقوق و کرامت انسانی افراد,اداره دولتی,برای کارمندان دولت در برخورد با شهروندان,Expected
تلاش و کوشش در کسب و کار و زندگی,محل کار,برای کارمندان و کارگران در محیط شغلی,Expected
برگزاری مراسم سوگواری,مراسم عزاداری,گروهی از شیعیان در حال برگزاری مراسم عزاداری,Expected
پرهیز از اسراف و ریخت و پاش بی‌رویه,رستوران,مشتریان در حال پرهیز از دور ریختن غذای باقی مانده,Normal
نظم و ترتیب در صف های خرید و خدمات شهری,بانک,مراجعه به بانک برای انجام امور مالی,Expected
انتقاد از سنت های نوروزی در فضای مجازی,فضای مجازی,کاربران در فضای مجازی,Taboo
خودداری از دست دادن یا روبوسی با افراد غیرهمجنس,محل کار,بین همکاران زن و مرد در محیط کاری,Normal
اظهار نظرهای توهین آمیز نسبت به مقدسات,خیابان شهر,یک فرد در حال بیان جملات,Taboo
عدم اختلاط زنان و مردان در آرایشگاه‌ها,آرایشگاه,آرایشگاه‌های مجزا برای زنان و مردان,Expected
چوب بازی,مناطق لرنشین,بازی چوب بازی در جشن ها و عروسی ها,Normal
استفاده بهینه از امکانات عمومی,پارک,خانواده ها در حال تفریح در پارک,Expected
استفاده از اوقات شرعی برای شروع کارها,اداره دولتی,کارمندان برای شروع و پایان کار، بر اساس اوقات شرعی عمل می‌کنند,Expected
انصاف در تجارت,بازار,فروشندگان وزن و پیمانه را درست رعایت می کنند,Expected
پرتاب زباله در معابر عمومی,خیابان شهر,رهگذری در حال پرتاب زباله در کوچه یا خیابان,Taboo
حرام شمردن روابط خارج از ازدواج,روستا,روحانی در حال انتقاد از روابط نامشروع در روستا,Expected
ناسزاگویی آشکار در انظار عمومی,پارک,یک گروه جوان در حال فحاشی و ناسزاگویی در پارک,Taboo
تردد خودروها در محدوده‌های ممنوعه,خیابان شهر,رانندگان در حال تردد در مناطق ممنوعه و پیاده‌رو‌ها,Normal
تصاحب میز یا صندلی,رستوران,گروهی در حال گذاشتن وسایل شخصی روی میز بدون سفارش غذا,Normal
داشتن پاکیزگی ظاهری,مراکز درمانی,بیماران با لباس تمیز وارد درمانگاه می شوند,Normal
استفاده بیش از حد از آب و برق,مزرعه,کشاورزان در حال استفاده بیش از حد از آب و برق برای آبیاری,Taboo
سکوت و آرامش,حمل و نقل عمومی,مسافران ساکت در اتوبوس,Expected
رانندگی با سرعت غیرمجاز,بزرگراه,یک راننده در حال رانندگی با سرعت بالا,Taboo
گرفتن وام برای تامین هزینه های جشن عروسی,بانک,یک مرد در حال گرفتن وام برای جشن عروسی اش,Normal
تلاش برای ارتقای سطح آگاهی های عمومی,کتابخانه,مطالعه و استفاده از کتاب های کتابخانه,Expected
ترویج صلح و دوستی بین ادیان و نژادها,بوستان,نمایشگاهی برای آشنایی با فرهنگ اقوام مختلف برگزار شده است,Expected
استفاده از نمادهای ملی و فرهنگی,مراسم ملی,شرکت کنندگان در یک مراسم ملی,Expected
احترام به حریم خصوصی دیگران,اتاق هتل,میهمانی بدون اجازه وارد اتاق همراهانش شده است,Taboo
بدرقه زنان به در ورودی منزل,مهمانی خانوادگی,توسط مردان خانواده برای زنان میهمان,Expected
سقط جنین غیرقانونی برای زنان باردار,کلینیک غیرمجاز,یک زن باردار در حال انجام سقط جنین غیرقانونی,Taboo
مراسم سنتی شب یلدا در روستا,روستا,اهالی روستا در حال برگزاری مراسم سنتی شب یلدا در روستا,Expected
وفای به عهد,روابط بین فردی,افراد به قول و قرارهای خود پایبند هستند,Expected
حفظ آرامش و خویشتنداری در ترافیک سنگین,خیابان شهر,رانندگان در ترافیک سنگین شهری,Expected
استفاده از فیلترشکن برای دسترسی به سایت های فیلترشده,فضای مجازی,دانشجو در حال استفاده از ابزارهای دور زدن فیلتر,Normal
برگزاری جشن های سنتی,چهارشنبه سوری,گروهی که آتش روشن می کنند و از روی آن می پرند,Normal
ترویج فرهنگ ملی و آداب اصیل ایرانی,مراسم ملی,شرکت در مراسم ملی و معرفی فرهنگ و آداب اصیل ایرانی,Expected
حضور در مراسم ختم و سوگواری غریبه ها,مراسم عزاداری,مراسم عزاداری محله همسایه,Normal
حفظ سنت‌های قدیمی در بازار سنتی,بازار سنتی,فروشندگان در حال حفظ سنت‌های قدیمی در یک بازار سنتی,Normal
در نوبت ایستادن,صف خرید در مرکز خرید,افراد در صف ایستاده برای خرید از یک فروشگاه,Expected
ترویج سبک زندگی سالم و ورزش,باشگاه ورزشی,شهروندان در حال انجام فعالیت‌های ورزشی و تناسب اندام,Expected
تمیز کردن محیط اطراف,سیزده بدر,طبیعت گردی همراه با خانواده در روز 13 فروردین,Expected
اجرای نمایش با رعایت ضوابط اخلاقی,تئاتر,گروه نمایش در حال اجرای یک نمایش با رعایت ضوابط اخلاقی در تئاتر,Expected
بازدید از موزه با رعایت آداب,موزه,گردشگران در حال بازدید از یک موزه با رعایت آداب و شئونات,Expected
بارداری و زایمان در خانه به جای بیمارستان,روستا,یک زن در حال زایمان در منزل با کمک قابله,Normal
غیبت کردن از دیگران,کافه,دو دوست در حال گپ زدن در یک کافه,Normal
حفظ شأن و آبروی خانواده,جشن تولد,اعضای خانواده در جشن تولد یکی از اعضا,Expected
مشارکت در فعالیت‌های خیرخواهانه,انجمن‌های خیریه,شهروندان در حال کمک مالی و داوطلبانه به مؤسسات خیریه,Expected
آموزش فرهنگ ترافیک و احترام به قوانین راهنمایی,خیابان شهر,عبور از خیابان و رانندگی در شهر,Expected
پرهیز از رفتارهای مزاحم برای دیگران,حمل و نقل عمومی,مسافران در اتوبوس یا مترو,Expected
پوشش کامل زنان در اماکن عمومی,خیابان شهر,یک زن در حال راه رفتن در خیابان,Expected
رعایت حقوق مالکیت معنوی در هنگام اشتراک گذاری محتوا,فضای مجازی,کپی و انتشار آثار هنری یا ادبی دیگران بدون اجازه,Normal
انتساب افراد به شهر یا روستای اصلی آنها,دانشگاه,دانشجویان به جای نام خانوادگی با شهر یا روستای خود شناخته می‌شوند,Normal
شوخی های جنسی,جلسه اداری,همکارانی که در یک جلسه کاری شرکت کرده اند,Taboo
پذیرایی مناسب از مهمانان,ضیافت شام,میزبان و میهمانان در یک ضیافت شام رسمی,Expected
شنیدن موسیقی های محلی و سنتی,روستا,روستائیان در حال گوش دادن به موسیقی محلی,Normal
احترام به حقوق معنوی هنرمندان,کنسرت موسیقی,تماشاگران در حال تماشای اجرای زنده موسیقی,Expected
حرمت نهادن به کار و تلاش,کارگاهها و مراکز تولیدی,کارگران و کارکنان نسبت به کار خود تعهد دارند,Expected
رعایت محدودیت‌های پوشش برای زنان,دانشگاه,برای دانشجویان دختر در محیط دانشگاه,Expected
دادن هدایا و سوغات به میزبان در مهمانی‌ها,مهمانی خانوادگی,میهمانان با اهدای هدیه به میزبان تشکر می‌کنند,Normal
استفاده از دست‌فروشان و سَدسَر بازار,خیابان شهر,خریداران در حال خرید از دست‌فروشان و دوره‌گردهای خیابانی,Expected
نیایش و سرودخوانی سنتی در کنار آتش سده,محل برگزاری جشن,گروهی از زرتشتیان در حال نیایش و سرودخوانی,Expected
لباس نامناسب در ورزشگاه,ورزشگاه,یک زن با لباس کوتاه و نامناسب در ورزشگاه,Taboo
احترام به آداب و رسوم محلی,کویر,در یک منطقه کویری و بیابانی,Normal
حمایت از تنوع فرهنگی و اقلیت های قومی,روستای قومی,بازدید از روستاهای قومی و محلی,Normal
شرکت در مراسم ملی و مذهبی,اماکن عمومی,شهروندان در جشن ها و مناسبت های ملی و مذهبی,Normal
ازدحام و سروصدا در اماکن عمومی,فرودگاه,گروهی از مسافران با سروصدا و ایجاد ازدحام دیگران را آزار می دهند,Taboo
توهین به جشن های باستانی در فضای مجازی,جشن های باستانی,کاربری در حال انتشار پیام های اهانت آمیز در مورد آیین های قدیمی,Taboo
کمپینگ و آتش روشن کردن در کویر,کویر,گروهی از گردشگران در حال کمپینگ و روشن کردن آتش در کویر,Normal
پرهیز از تولید زباله و آلودگی در طبیعت,پارک,گروهی از گردشگران در یک پارک ملی,Expected
پرهیز از تماس چشمی طولانی با افراد غریبه,خیابان شهر,یک فرد در حال قدم زدن در خیابان,Expected
احترام ویژه به میزبان در خانه‌های ایرانی,منزل,میهمانان در حال ادای احترام و تعارفات مکرر به میزبان,Expected
گرفتن عکس از افراد بدون اجازه آنها,پارک,برخی افراد بدون اجازه قبلی از دیگران عکس می‌گیرند,Normal
انتشار محتوای غیراخلاقی در فضای مجازی,فضای مجازی,یک کاربر در حال انتشار محتوای مبتذل و غیراخلاقی در فضای مجازی,Taboo
رعایت آداب معاشرت در مهمانی,مهمانی خانوادگی,یک جوان در میان خانواده به صورت گسترده,Expected
عدم سانسور و آزادی مطبوعات برای نشر اخبار,روزنامه,روزنامه نگاران در حال انتشار آزادانه اخبار بدون سانسور,Taboo
گریستن برای امام حسین,مراسم روضه خوانی,حضار در حال گریه و زاری در هیئت عزاداری,Expected
دایر کردن مراکز فرهنگی هنری مدرن,شهر,یک مجموعه هنری مدرن در حال فعالیت در شهر,Normal
رعایت نوبت در صف,سوپرمارکت,افراد در انتظار برای خرید یا خدمات,Expected
برگزاری مراسم سحری,مراسم سحر,مسلمانان در حال شرکت در مراسم دعای سحر,Normal
بازنشر اخبار یا اطلاعات رسمی دولتی در فضای آنلاین,فضای مجازی,کارمند دولت در حال انتشار اخبار مرتبط با سازمان متبوع در شبکه های اجتماعی,Normal
ارتباط با افراد مشکوک امنیتی در خارج از کشور,کشور فرانسه,یک شهروند ایرانی در حال مکاتبه با عوامل بیگانه,Taboo
مصرف دخانیات در حضور کودکان,پارک,والدین در حال سیگار کشیدن در حضور فرزندان در پارک,Expected
تقدیر از تلاش فرهنگیان,مدارس,دانش آموزان و اولیا از زحمات معلمان قدردانی می کنند,Normal
احترام به پرچم و نشان های ملی,مراسم تحلیف,مقامات در حال ادای سوگند,Expected
حفظ فاصله فیزیکی بین زنان و مردان نامحرم,مرکز خرید,خریداران در حال گشت در مرکز خرید,Expected
اهمیت دادن به مقام و منزلت اجتماعی افراد,محل کار,در تعاملات کارمندان و مدیران در محیط کاری,Expected
تفکیک جنسیتی در مدارس و دانشگاه‌ها,دانشگاه,برای دانشجویان دختر و پسر در محیط آموزشی,Expected
قرائت زیارت عاشورا در فضای مجازی,اینترنت,یک کاربر در حال به اشتراک گذاری ویدیوی روضه خوانی در شبکه اجتماعی,Normal
حفظ کرامت انسانی زندانیان,زندان,مأموران با زندانیان با احترام رفتار می کنند,Normal
حفظ حریم خصوصی زنان از نگاه‌های مردان نامحرم,پارک,مردان در حال دوری از نگاه خیره به زنان,Expected
ارائه کمک به دیگران,خیابان شهر,یک شهروند در حال کمک به یک فرد سالمند برای عبور از خیابان,Expected
گرفتن عکس از کارمندان زن بدون رضایت آن‌ها,محل کار,یک مرد در حال عکاسی پنهانی از همکاران زن در محل کار,Taboo
حفظ محیط زیست,پارک,شهروندان از ریختن زباله خودداری می کنند,Normal
کار کردن بدون پوشش مناسب,محل کار,یک کارمند زن با پوشش نامتعارف در محیط کاری,Taboo
نمایش علنی روابط غیرمتعارف جنسی,سینما,از سوی یک زوج جوان در سالن سینما,Taboo
پوشیدن لباس سیاه در ماه محرم,محرم,گروهی از مردان در مراسم عزاداری,Expected
دست ندادن و روبوسی با جنس مخالف,محل کار,مردان و زنان از تماس فیزیکی با جنس مخالف اجتناب می‌کنند,Expected
نوازش کردن همسر در ملأ عام,پارک,یک زوج جوان در حال نوازش یکدیگر در پارک,Taboo
رقص و آوازخوانی نامناسب در اماکن عمومی,پارک ملی,برای گروهی از جوانان در یک پارک ملی,Taboo
برگزاری نمایشگاه نقاشی در پارک,پارک,گروهی از هنرمندان در حال برگزاری یک نمایشگاه نقاشی در یک پارک,Normal
تعارف دادن صندلی به افراد مسن تر,حمل و نقل عمومی,جوانان در حال تعارف صندلی به افراد مسن,Expected
افشای اسرار خصوصی دیگران,محل کار,یک کارمند در حال افشای اطلاعات خصوصی همکارانش,Taboo
رعایت قوانین و مقررات راهنمایی و رانندگی,خیابان شهر,رانندگان سرعت مطمئنه و جلوگیری از تخلفات را رعایت می کنند,Expected
پرهیز از هنجارشکنی و آشکارسازی روابط خصوصی,پارک,برای زوج های جوان در پارک های عمومی,Normal
عدم رعایت عزاداری در ماه محرم,خیابان شهر,گروهی از افراد در حال نادیده گرفتن مراسم عزاداری در خیابان‌های شهر,Taboo
گذاشتن احترام به بزرگترها,مراسم عزاداری,جوانی در حال تعارف صندلی به یک سالمند,Expected
گرامیداشت آیین های ملی و مذهبی,جشن سده,مردم در حال برگزاری آیین های باستانی در جشن سده,Expected
میهمان نوازی و پذیرایی گرم از میهمانان,مهمانی خانوادگی,برای میزبان و خانواده در مهمانی های خانوادگی,Expected
استفاده از تلفن همراه در زمان‌های نامناسب,سینما,تماشاگران در حال استفاده از گوشی‌های موبایل در طول فیلم,Taboo
برگزاری جشن شاد و پرهیاهو برای عروسی,عروسی,میهمانان در حال رقصیدن و شادی کردن در عروسی,Normal
ایستادن و رسیدگی به میهمانان توسط میزبان,مهمانی خانوادگی,میزبان در حال پذیرایی ایستاده از میهمانان,Expected
رعایت تعارفات و آداب میهمان نوازی,مهمانی خانوادگی,میزبان در حال پذیرایی از مهمانان,Expected
نادیده گرفتن حقوق معلولان,مترو,راننده اتوبوس از ایستادن در ایستگاه ویژه معلولان خودداری می کند,Expected
دفن کردن تکه پارچه ای در زیر درخت,آیین سنتی,در برخی آیین های سنتی، یک تکه پارچه در زیر درخت دفن می شود,Normal
احترام به کهنسالان و ریش سفیدان,روستا,یک جوان در حال گفتگو با یکی از ریش سفیدان روستا,Expected
لبخند زدن و خوش رویی با دیگران,بازار سنتی,در یک بازار سنتی و پر رفت و آمد,Normal
رعایت عفت و پاکدامنی در روابط میان زن و مرد,کافه,یک زوج جوان در حال پرهیز از رفتارهای نامناسب در ملأ عام,Expected
ارائه پیشنهادات مفید و راهگشا,جلسه اداری,حضور در جلسات سازمانی و شرکتی,Normal
راهنمایی گردشگران در بازدید از جاذبه های گردشگری,مرکز اطلاع رسانی,ارائه اطلاعات گردشگری در مراکز اطلاعاتی,Normal
نشستن به صورت پا روی پا,اداره دولتی,کارمند مرد در حال نشستن به صورت پا روی پا در حضور زنان,Taboo
تربیت فرزندان صالح,خانواده,والدین تربیت اخلاقی فرزندان را مدنظر قرار می دهند,Expected
رعایت نکردن حریم خصوصی دیگران در فضای مجازی,فضای مجازی,کاربران در حال مشاهده و به اشتراک گذاشتن محتوای شخصی افراد دیگر بدون اجازه,Taboo
برخورد محترمانه با زنان و دختران,دانشگاه,دانشجویان پسر در حال رفتار محترمانه با همکلاسی های دختر,Expected
پرخاشگری و درگیری فیزیکی,سینما,دو مرد در حال نزاع و کتک کاری در سالن سینما,Taboo
گسترش آموزش مجازی و فراگیر در دوران همه گیری,خانه,دانش آموزان در حال شرکت در کلاس های مجازی از خانه,Normal
پایبندی به ارزش ها و سنت های ملی,عروسی,برای زوج ها و مهمانان در مراسم عروسی,Expected
مقاومت در برابر نفوذ فرهنگی بیگانگان,دانشگاه,دانشجویان در حال مقاومت در برابر نفوذ فرهنگ بیگانه,Expected
استقلال دانشگاه ها از نظارت و کنترل نهادهای حکومتی,دانشگاه,فعالیت دانشگاه بدون نظارت و کنترل نهادهای دولتی,Normal
رعایت سلامت محیط زیست و منابع طبیعی,طبیعت,فعالان محیط زیست در حال مراقبت از طبیعت و حیات وحش,Expected
رانندگی با سرعت غیرمجاز در بزرگراه,بزرگراه,یک راننده در حال رانندگی با سرعت بالا و خطرناک در بزرگراه,Taboo
لطیفه گویی,مجالس شادی,روایت شوخی و لطیفه,Expected
اجتناب از بلند صحبت کردن در اماکن عمومی,کتابخانه,افرادی در حال مطالعه در کتابخانه,Expected
رفتار توهین آمیز با سالمندان و افراد مسن,مهمانی خانوادگی,در یک مهمانی خانوادگی با حضور بزرگان فامیل,Taboo
پوشیدن لباس نامناسب در فروشگاه لباس,فروشگاه لباس,یک زن با لباس بدن نما و کوتاه در حال خرید از یک فروشگاه لباس,Taboo
عدم رعایت حریم خصوصی دیگران,هتل,میهمانانی بدون اجازه وارد اتاق دیگران شده اند,Taboo
عدم رعایت فاصله اجتماعی در دوران پاندمی,مرکز خرید,افراد بدون توجه به فاصله گذاری اجتماعی در فروشگاه ازدحام کرده اند,Taboo
همدردی و کمک به افراد آسیب دیده,خیابان شهر,شهروندان در حال کمک به قربانیان یک سانحه در خیابان,Expected
فروش محصولات سنتی و صنایع دستی در بازار,بازار سنتی,صنعتگران در حال فروش صنایع دستی در بازار,Expected
رعایت نظافت در مساجد,مسجد,نمازگزاران در حال رعایت نظافت و پاکیزگی در محیط مسجد,Expected
نوشیدن چای با مزاحمت برای همسفران,اتوبوس,سوار شدن به اتوبوس شلوغ و پر ازدحام,Taboo
اجتناب از اِتلاف منابع عمومی,اداره دولتی,کارمندان در حال انجام وظایف اداری,Expected
مراقبت و حفاظت از جانوران در معرض خطر,پارک ملی,گشت زنی در پارک های ملی و مناطق حفاظت شده,Expected
اهدای گل و شیرینی در ملاقات خانوادگی,منزل میزبان,یک میهمان که برای ملاقات آمده است,Expected
شایعه پراکنی و انتشار اخبار جعلی,فضای مجازی,کاربران در حال انتشار اخبار در شبکه های اجتماعی,Taboo
پختن غذاهای سنتی برای ضیافت شام,ضیافت شام,خانواده در حال صرف غذای سنتی,Normal
ایجاد شایعه و تفرقه افکنی در فضای مجازی,فضای مجازی,یک گروه در حال انتشار اطلاعات جعلی و اختلاف انگیز در شبکه های اجتماعی,Taboo
ایجاد سروصدا در ساعات نامناسب,هتل,گروهی از میهمانان در حال ایجاد سر و صدا در راهرو در نیمه شب,Taboo
